isbn;title_ol;title_az;reading_age;grade;cover_url
0395348315;The Castle in the Sea;Scott O'Dell;READINGAGE_MISSING_AZ;7 - 9;https://m.media-amazon.com/images/I/A14btoeMp9L.jpg
1416902481;The Road Not Taken;Greg Cox;READINGAGE_MISSING_AZ;10 - 12;https://m.media-amazon.com/images/I/61Lfw4zWyDL.jpg
0545790557;Frosted Kisses;Heather Hepler;12 years and up;7 - 9;https://m.media-amazon.com/images/I/512b5d-XQdL.jpg
1626392080;Maxine Wore Black;Nora Olsen;13 - 18 years;7 - 9;https://m.media-amazon.com/images/I/71c+CQQW7gL.jpg
0399161864;Fragile Spirits;Mary Lindsey;12 - 15 years;7 - 9;https://m.media-amazon.com/images/I/91BBA7QKAAL.jpg
1629146269;Secrets: Diary of a Gutsy Teen;Barbara Becker Holstein;8 - 12 years;2 - 7;https://m.media-amazon.com/images/I/81Hw933QnZL.jpg
1626393036;Everything Changes;Samantha Hale;13 - 18 years;7 - 9;https://m.media-amazon.com/images/I/71Fhed2nO4L.jpg
1416939911;Angels on Sunset Boulevard;Melissa de la Cruz;14 years and up;10 - 12;https://m.media-amazon.com/images/I/51BhjmebQSL.jpg
144249316X;The Wicked Within;Kelly Keaton;14 years and up;9 - 12;https://m.media-amazon.com/images/I/71ZujFLkV9L.jpg
0807216445;Hole In My Life;Jack Gantos;12 - 18 years;7 - 12;https://m.media-amazon.com/images/I/21DRNGQNZDL.jpg
1416974369;Bogus to Bubbly: An Insider's Guide to the World of Uglies;Scott Westerfeld;12 years and up;7 - 9;https://m.media-amazon.com/images/I/81GVMaFHdhL.jpg
0802776035;Rosey in the Present Tense;Louise Hawes;13 - 17 years;10 - 12;https://m.media-amazon.com/images/I/716b73K4z+L.jpg
1250077745;Girls Made of Snow and Glass;Melissa Bashardoust;12 - 18 years;GRADE_MISSING_AZ;https://m.media-amazon.com/images/I/01RmK+J4pJL.gif
0061961191;Balthazar;Claudia Gray;14 years and up;9 and up;https://m.media-amazon.com/images/I/41FzHhUb7uL.jpg
0689717679;The Jazz Man;Mary Hays Weik;8 - 12 years;3 - 7;https://m.media-amazon.com/images/I/81TT+nQeR0L.jpg
0061962759;Bumped;Megan McCafferty;13 - 17 years;9 and up;https://m.media-amazon.com/images/I/41cDN3Kk57L.jpg
0786814403;Zach's Lie;Roland Smith;10 - 14 years;5 - 9;https://m.media-amazon.com/images/I/41K+VhPrKfL.jpg
1940363764;The Unseemly Education of Anne Merchant;Joanna Wiebe;12 - 15 years;6 - 9;https://m.media-amazon.com/images/I/814cp3h3vbS.jpg
0761373969;Is the End of the World Near?: From Crackpot Predictions to Scientific Scenarios;Ron Miller;11 - 18 years;6 - 12;https://m.media-amazon.com/images/I/91R1CzjWP-L.jpg
1423153367;Shell Game: Kindom Keepers V;Ridley Pearson;9+ years;5 - 9;https://m.media-amazon.com/images/I/513dqbzj4cL.jpg
0439705932;It's Happy Bunny #4: The Good, the Bad, and the Bunny;Jim Benton;14 years and up;9 - 3;https://m.media-amazon.com/images/I/513hB4929GL.jpg
0439693462;It's Happy Bunny: Life, Get One;Jim Benton;14 years and up;GRADE_MISSING_AZ;https://m.media-amazon.com/images/I/51mzrnHvefL.jpg
0064408906;Blackwater;Eve Bunting;8 - 12 years;5 - 6;https://m.media-amazon.com/images/I/51NypJ+KWlL.jpg
0786856904;Amazing Grace;Megan Shull;11 - 14 years;6 - 9;https://m.media-amazon.com/images/I/41H6E0WGWFL.jpg
0439693454;It's Happy Bunny #1: Love Bites;Jim Benton;14 years and up;GRADE_MISSING_AZ;https://m.media-amazon.com/images/I/51bnncFUv5L.jpg
140031836X;Swipe;Evan Angler;12+ years;4 - 6;https://m.media-amazon.com/images/I/81vi+-nw35L.jpg
0440972329;A Ring of Endless Light;Madeleine L'Engle;14 years and up;GRADE_MISSING_AZ;https://m.media-amazon.com/images/I/71HMYfzK9sL.jpg
0689807244;Night Terrors: Stories Of Shadow And Substance : Stories Of Shadow And Substance;Lois Duncan;READINGAGE_MISSING_AZ;7 - 9;https://m.media-amazon.com/images/I/51J88KKRAAL.jpg
0062048651;Hemlock;Kathleen Peacock;14 years and up;9 - 12;https://m.media-amazon.com/images/I/51zcEwLoYwL.jpg
0440918642;Daughters of Eve;Lois Duncan;12 - 15 years;7 - 9;https://m.media-amazon.com/images/I/51tbsVkCgbL.jpg
0440228441;I Know What You Did Last Summer;Lois Duncan;Baby - 15 years;7 - 9;https://m.media-amazon.com/images/I/51r+aANH+dL.jpg
0761378111;Last Desserts;Megan Atwood;11 - 18 years;6 - 12;https://m.media-amazon.com/images/I/91bpMu0r1cL.jpg
1250050790;Slayers: Friends and Traitors;C. J. HILL;12 - 18 years;7 - 9;https://m.media-amazon.com/images/I/91vwCp+nc3L.jpg
148146664X;Z for Zachariah;Robert C. O'Brien;11+ years;9 - 12;https://m.media-amazon.com/images/I/81KwWO+V8UL.jpg
1250151813;Not the Girls You're Looking For;Aminah Mae Safi;13 - 18 years;7 - 9;https://m.media-amazon.com/images/I/91P2q2O45JL.jpg
0763669024;The Twyning;Terence Blacker;12 - 15 years;7 - 9;https://m.media-amazon.com/images/I/91bxaUd0R9L.jpg
0763620920;What the Birds See;Sonya Hartnett;14 years and up;9 and up;https://m.media-amazon.com/images/I/11cXaMgl4fL.jpg
0671007378;Operation: Titanic;Carolyn Keene;READINGAGE_MISSING_AZ;7 - 9;https://m.media-amazon.com/images/I/51VK52NA0EL.jpg
1846013526;How to Date a Vampire;Sophie Collins;12 years and up;7 and up;https://m.media-amazon.com/images/I/51feZV1csBL.jpg
0062135937;Another Little Piece;Kate Karyus Quinn;14 - 17 years;9 - 12;https://m.media-amazon.com/images/I/51bLTGKoNeL.jpg
006180892X;Jennifer's Body;Audrey Nixon;14 years and up;9 - 12;https://m.media-amazon.com/images/I/51Ac9LeaABL.jpg
1554691230;Riley Park;Diane Tullson;READINGAGE_MISSING_AZ;8 - 12;https://m.media-amazon.com/images/I/41K8dKqIoSL.jpg
1682813304;Falling for the Girl Next Door;Tera Lynn Childs;12 - 17 years;GRADE_MISSING_AZ;https://m.media-amazon.com/images/I/71FJiLxKZHL.jpg
1442417404;Legacy;Molly Cochran;14 years and up;9 - 12;https://m.media-amazon.com/images/I/71gpDaYxn9L.jpg
075665551X;The Vampire Book;DK Publishing;10 - 17 years;5 - 12;https://m.media-amazon.com/images/I/51JLh0-1UqL.jpg
1416999442;Divine Madness;Robert Muchamore;12 years and up;7 - 9;https://m.media-amazon.com/images/I/61IS8k+-QvL.jpg
0525423273;Anna and the French Kiss;Stephanie Perkins;10+ years;7 - 12;https://m.media-amazon.com/images/I/91lJKuog+qL.jpg
0590424769;The Party;Carrie Randall;READINGAGE_MISSING_AZ;4 - 6;https://m.media-amazon.com/images/I/81D91A6TptS.jpg
1889186562;Monster Lake;Edward Lee;8 - 10 years;3 - 4;https://m.media-amazon.com/images/I/51TOPtXu+4L.jpg
0590424785;The Dance;Carrie Randall;READINGAGE_MISSING_AZ;4 - 6;https://m.media-amazon.com/images/I/41zIsa5PsKL.jpg
0884113272;Blueberry Summer;Elisabeth Ogilvie;READINGAGE_MISSING_AZ;7 - 9;https://m.media-amazon.com/images/I/81rbZp2umeL.jpg
0763642509;What Comes After;Steve Watkins;14 years and up;9 - 12;https://m.media-amazon.com/images/I/51MWOtzENbL.jpg
074341697X;The Viking Claw;Michael Dahl;11 years and up;7 - 9;https://m.media-amazon.com/images/I/71B-y0z9cAL.jpg
0399256512;Seconds Away;Harlan Coben;12 - 15 years;7 - 9;https://m.media-amazon.com/images/I/81c91C0AYaL.jpg
1933963018;A Season of Eden;Jennifer Laurens;READINGAGE_MISSING_AZ;10 - 12;https://m.media-amazon.com/images/I/51kAc0S2oSL.jpg
0439916100;Heartland Special Edition: Beyond the Horizon;Lauren Brooke;12 years and up;7 - 6;https://m.media-amazon.com/images/I/514nwcUR0QL.jpg
1595147683;The Forbidden Wish;Jessica Khoury;12 - 17 years;7 - 9;https://m.media-amazon.com/images/I/916FZVEJZKL.jpg
1483028690;Exquisite Captive;Heather Demetrios;14 - 17 years;8 - 12;https://m.media-amazon.com/images/I/A1nwJfAYEcL.jpg
0375895213;The Unlikely Romance of Kate Bjorkman;Louise Plummer;12 - 17 years;7 - 9;https://m.media-amazon.com/images/I/711Ehvph9oL.jpg
1595146563;Defector: A Variants Novel;Susanne Winnacker;12 - 15 years;7 - 9;https://m.media-amazon.com/images/I/51QvakDk1VL.jpg
031604007X;Huntress;Malinda Lo;14 years and up;9 and up;https://m.media-amazon.com/images/I/41jfPv2GEtL.jpg
0316077909;Now Is the Time for Running;Michael Williams;12 years and up;7 and up;https://m.media-amazon.com/images/I/517ey5mg2SL.jpg
0671557335;Survivors;Barbara Siegel;READINGAGE_MISSING_AZ;10 - 12;https://m.media-amazon.com/images/I/516SPE-5ueL.jpg
1467716111;Up for Sale: Human Trafficking and Modern Slavery;Alison Marie Behnke;11 - 18 years;6 - 12;https://m.media-amazon.com/images/I/91Cfb+bnE5L.jpg
1553376722;The Finder;Margaret Buffie;10 - 14 years;7 - 9;https://m.media-amazon.com/images/I/51-PluUD7LL.jpg
1338118668;The Lines We Cross;Randa Abdel-Fattah;12 years and up;7 - 9;https://m.media-amazon.com/images/I/51TECFnAT4L.jpg
1933718757;Ashen Winter;Mike Mullin;14 years and up;8 - 12;https://m.media-amazon.com/images/I/A1wsJX5sK+L.jpg
1602863008;The Hawkweed Prophecy;Irena Brignull;12 years and up;1 - 7;https://m.media-amazon.com/images/I/91mELFa2zdL.jpg
1442446587;Unravel;Imogen Howson;12 years and up;7 - 9;https://m.media-amazon.com/images/I/51z9IDNsouL.jpg
0545953189;Umberland;Wendy Spinale;12 years and up;7 - 9;https://m.media-amazon.com/images/I/712R1DlbSiL.jpg
0689829833;The Dark is Rising;Susan Cooper;10+ years;3 - 7;https://m.media-amazon.com/images/I/61N45mPSDoL.jpg
0671497510;Runaway's Diary;Marilyn Harris;READINGAGE_MISSING_AZ;7 - 9;https://m.media-amazon.com/images/I/312S9Ad09JL.jpg
1595141936;In Your Room;Jordanna Fraiberg;12 years and up;7 - 9;https://m.media-amazon.com/images/I/511hUCmqTyL.jpg
1407163868;Vicious Vikings;Terry Deary;8 - 12 years;GRADE_MISSING_AZ;https://m.media-amazon.com/images/I/71RakJYYtsL.jpg
